 (2.625, 'yellow', ' First Quadrant', 'yellow')
(2.665, 'yellow', ' First Quadrant', 'yellow')
(2.868, 'yellow', ' Third Quadrant', 'yellow')
(2.907, 'yellow', ' Third Quadrant', 'yellow')
(2.949, 'yellow', ' Third Quadrant', 'yellow')
(2.992, 'yellow', ' Third Quadrant', 'yellow')
(3.115, 'yellow', ' Third Quadrant', 'yellow')
(3.155, 'yellow', ' Third Quadrant', 'yellow')
(3.242, 'yellow', ' Third Quadrant', 'yellow')
(3.288, 'yellow', ' Third Quadrant', 'yellow')
(3.33, 'yellow', ' Third Quadrant', 'yellow')
(3.37, 'yellow', ' Third Quadrant', 'yellow')
(3.412, 'yellow', ' Third Quadrant', 'yellow')
(3.459, 'yellow', ' Third Quadrant', 'yellow')
(3.501, 'yellow', ' Third Quadrant', 'yellow')
(3.541, 'yellow', ' Third Quadrant', 'yellow')
(3.583, 'yellow', ' Third Quadrant', 'yellow')
(3.624, 'yellow', ' Third Quadrant', 'yellow')
(3.666, 'yellow', ' Third Quadrant', 'yellow')
(3.707, 'yellow', ' Third Quadrant', 'yellow')
(3.748, 'yellow', ' Third Quadrant', 'yellow')
(3.789, 'yellow', ' Third Quadrant', 'yellow')
(3.835, 'yellow', ' Third Quadrant', 'yellow')
(3.875, 'yellow', ' Third Quadrant', 'yellow')
(3.916, 'yellow', ' Third Quadrant', 'yellow')
(3.956, 'yellow', ' Third Quadrant', 'yellow')
(3.997, 'yellow', ' Third Quadrant', 'yellow')
(4.039, 'yellow', ' Third Quadrant', 'yellow')
(4.081, 'yellow', ' Third Quadrant', 'yellow')
(4.123, 'yellow', ' Third Quadrant', 'yellow')
(4.165, 'yellow', ' Third Quadrant', 'yellow')
(4.205, 'yellow', ' Third Quadrant', 'yellow')
(4.245, 'yellow', ' Third Quadrant', 'yellow')
(4.299, 'yellow', ' Third Quadrant', 'yellow')
(4.343, 'yellow', ' Third Quadrant', 'yellow')
(4.387, 'yellow', ' Third Quadrant', 'yellow')
(4.453, 'yellow', ' Third Quadrant', 'yellow')
(4.492, 'yellow', ' Third Quadrant', 'yellow')
(4.532, 'yellow', ' Third Quadrant', 'yellow')
(4.573, 'yellow', ' Third Quadrant', 'yellow')
(4.615, 'yellow', ' Third Quadrant', 'yellow')
(4.655, 'yellow', ' Third Quadrant', 'yellow')
(4.7, 'yellow', ' Third Quadrant', 'yellow')
(4.74, 'yellow', ' Third Quadrant', 'yellow')
(4.781, 'yellow', ' Third Quadrant', 'yellow')
(4.823, 'yellow', ' Third Quadrant', 'yellow')
(4.865, 'yellow', ' Third Quadrant', 'yellow')
(4.908, 'yellow', ' Third Quadrant', 'yellow')
(4.95, 'yellow', ' Third Quadrant', 'yellow')
(4.99, 'yellow', ' Third Quadrant', 'yellow')
(5.029, 'yellow', ' Third Quadrant', 'yellow')
(5.07, 'yellow', ' Third Quadrant', 'yellow')
(5.121, 'yellow', ' Third Quadrant', 'yellow')
(5.161, 'yellow', ' Third Quadrant', 'yellow')
(5.204, 'yellow', ' Third Quadrant', 'yellow')
(5.244, 'yellow', ' Third Quadrant', 'yellow')
(5.285, 'yellow', ' Third Quadrant', 'yellow')
(5.324, 'yellow', ' Third Quadrant', 'yellow')
(5.364, 'yellow', ' Third Quadrant', 'yellow')
(5.404, 'yellow', ' Third Quadrant', 'yellow')
(5.444, 'yellow', ' Third Quadrant', 'yellow')
(5.486, 'yellow', ' Third Quadrant', 'yellow')
(5.526, 'yellow', ' Third Quadrant', 'yellow')
(5.567, 'yellow', ' Third Quadrant', 'yellow')
(5.606, 'yellow', ' Third Quadrant', 'yellow')
(5.646, 'yellow', ' Third Quadrant', 'yellow')
(5.687, 'yellow', ' Third Quadrant', 'yellow')
(5.727, 'yellow', ' Third Quadrant', 'yellow')
(5.767, 'yellow', ' Third Quadrant', 'yellow')
(5.808, 'yellow', ' Third Quadrant', 'yellow')
(5.849, 'yellow', ' Third Quadrant', 'yellow')
(5.891, 'yellow', ' Third Quadrant', 'yellow')
(5.939, 'yellow', ' Third Quadrant', 'yellow')
(5.981, 'yellow', ' Third Quadrant', 'yellow')
(6.022, 'yellow', ' Third Quadrant', 'yellow')
(6.062, 'yellow', ' Third Quadrant', 'yellow')
(6.103, 'yellow', ' Third Quadrant', 'yellow')
(6.142, 'yellow', ' Third Quadrant', 'yellow')
(6.183, 'yellow', ' Third Quadrant', 'yellow')
(6.223, 'yellow', ' Third Quadrant', 'yellow')
(6.263, 'yellow', ' Third Quadrant', 'yellow')
(6.306, 'yellow', ' Third Quadrant', 'yellow')
(6.352, 'yellow', ' Third Quadrant', 'yellow')
(6.394, 'yellow', ' Third Quadrant', 'yellow')
(6.436, 'yellow', ' Third Quadrant', 'yellow')
(6.477, 'yellow', ' Third Quadrant', 'yellow')
(6.519, 'yellow', ' Third Quadrant', 'yellow')
(6.56, 'yellow', ' Third Quadrant', 'yellow')
(6.603, 'yellow', ' Third Quadrant', 'yellow')
(6.643, 'yellow', ' Third Quadrant', 'yellow')
(6.685, 'yellow', ' Third Quadrant', 'yellow')
(6.725, 'yellow', ' Third Quadrant', 'yellow')
(6.768, 'yellow', ' Third Quadrant', 'yellow')
(6.808, 'yellow', ' Third Quadrant', 'yellow')
(6.849, 'yellow', ' Third Quadrant', 'yellow')
(6.889, 'yellow', ' Third Quadrant', 'yellow')
(6.929, 'yellow', ' Third Quadrant', 'yellow')
(6.97, 'yellow', ' Third Quadrant', 'yellow')
(7.011, 'yellow', ' Third Quadrant', 'yellow')
(7.052, 'yellow', ' Third Quadrant', 'yellow')
(7.092, 'yellow', ' Third Quadrant', 'yellow')
(7.133, 'yellow', ' Third Quadrant', 'yellow')
(7.174, 'yellow', ' Third Quadrant', 'yellow')
(7.214, 'yellow', ' Third Quadrant', 'yellow')
(7.255, 'yellow', ' Third Quadrant', 'yellow')
(7.295, 'yellow', ' Third Quadrant', 'yellow')
(7.337, 'yellow', ' Third Quadrant', 'yellow')
(7.385, 'yellow', ' Third Quadrant', 'yellow')
(7.427, 'yellow', ' Third Quadrant', 'yellow')
(7.468, 'yellow', ' Third Quadrant', 'yellow')
(7.51, 'yellow', ' Third Quadrant', 'yellow')
(7.551, 'yellow', ' Third Quadrant', 'yellow')
(7.6, 'yellow', ' Third Quadrant', 'yellow')
(7.644, 'yellow', ' Third Quadrant', 'yellow')
(7.686, 'yellow', ' Third Quadrant', 'yellow')
(7.726, 'yellow', ' Third Quadrant', 'yellow')
(7.767, 'yellow', ' Third Quadrant', 'yellow')
(7.807, 'yellow', ' Third Quadrant', 'yellow')
(7.849, 'yellow', ' Third Quadrant', 'yellow')
(7.889, 'yellow', ' Third Quadrant', 'yellow')
(7.932, 'yellow', ' Third Quadrant', 'yellow')
(7.974, 'yellow', ' Third Quadrant', 'yellow')
(8.014, 'yellow', ' Third Quadrant', 'yellow')
(8.053, 'yellow', ' Third Quadrant', 'yellow')
(8.093, 'yellow', ' Third Quadrant', 'yellow')
(8.134, 'yellow', ' Third Quadrant', 'yellow')
(8.174, 'yellow', ' Third Quadrant', 'yellow')
(8.217, 'yellow', ' Third Quadrant', 'yellow')
(8.26, 'yellow', ' Third Quadrant', 'yellow')
(8.301, 'yellow', ' Third Quadrant', 'yellow')
(8.341, 'yellow', ' Third Quadrant', 'yellow')
(8.381, 'yellow', ' Third Quadrant', 'yellow')
(8.425, 'yellow', ' Third Quadrant', 'yellow')
(8.468, 'yellow', ' Third Quadrant', 'yellow')
(8.508, 'yellow', ' Third Quadrant', 'yellow')
(8.548, 'yellow', ' Third Quadrant', 'yellow')
(8.589, 'yellow', ' Third Quadrant', 'yellow')
(8.632, 'yellow', ' Third Quadrant', 'yellow')
(8.674, 'yellow', ' Third Quadrant', 'yellow')
(8.715, 'yellow', ' Third Quadrant', 'yellow')
(8.754, 'yellow', ' Third Quadrant', 'yellow')
(8.794, 'yellow', ' Third Quadrant', 'yellow')
(8.834, 'yellow', ' Third Quadrant', 'yellow')
(8.879, 'yellow', ' Third Quadrant', 'yellow')
(8.921, 'yellow', ' Third Quadrant', 'yellow')
(8.961, 'yellow', ' Third Quadrant', 'yellow')
(9.001, 'yellow', ' Third Quadrant', 'yellow')
(9.042, 'yellow', ' Third Quadrant', 'yellow')
(9.084, 'yellow', ' Third Quadrant', 'yellow')
(9.124, 'yellow', ' Third Quadrant', 'yellow')
(9.166, 'yellow', ' Third Quadrant', 'yellow')
(9.205, 'yellow', ' Third Quadrant', 'yellow')
(9.245, 'yellow', ' Third Quadrant', 'yellow')
(9.286, 'yellow', ' Third Quadrant', 'yellow')
(9.326, 'yellow', ' Third Quadrant', 'yellow')
(9.366, 'yellow', ' Third Quadrant', 'yellow')
(9.406, 'yellow', ' Third Quadrant', 'yellow')
(9.446, 'yellow', ' Third Quadrant', 'yellow')
(9.488, 'yellow', ' Third Quadrant', 'yellow')
(9.528, 'yellow', ' Third Quadrant', 'yellow')
(9.569, 'yellow', ' Third Quadrant', 'yellow')
(9.609, 'yellow', ' Third Quadrant', 'yellow')
(9.65, 'yellow', ' Third Quadrant', 'yellow')
(9.691, 'yellow', ' Third Quadrant', 'yellow')
(9.733, 'yellow', ' Third Quadrant', 'yellow')
(9.773, 'yellow', ' Third Quadrant', 'yellow')
(9.814, 'yellow', ' Third Quadrant', 'yellow')
(9.855, 'yellow', ' Third Quadrant', 'yellow')
(9.894, 'yellow', ' Third Quadrant', 'yellow')
(9.937, 'yellow', ' Third Quadrant', 'yellow')
(9.979, 'yellow', ' Third Quadrant', 'yellow')
(10.024, 'yellow', ' Third Quadrant', 'yellow')
(10.065, 'yellow', ' Third Quadrant', 'yellow')
(10.105, 'yellow', ' Third Quadrant', 'yellow')
(10.148, 'yellow', ' Third Quadrant', 'yellow')
(10.19, 'yellow', ' Third Quadrant', 'yellow')
(10.233, 'yellow', ' Third Quadrant', 'yellow')
(10.275, 'yellow', ' Third Quadrant', 'yellow')
(10.315, 'yellow', ' Third Quadrant', 'yellow')
(10.356, 'yellow', ' Third Quadrant', 'yellow')
(10.398, 'yellow', ' Third Quadrant', 'yellow')
(10.44, 'yellow', ' Third Quadrant', 'yellow')
(10.48, 'yellow', ' Third Quadrant', 'yellow')
(10.523, 'yellow', ' Third Quadrant', 'yellow')
(10.567, 'yellow', ' Third Quadrant', 'yellow')
(10.607, 'yellow', ' Third Quadrant', 'yellow')
(10.649, 'yellow', ' Third Quadrant', 'yellow')
(10.688, 'yellow', ' Third Quadrant', 'yellow')
